"variable","estimated_beta","std_error","ci_lower","ci_upper","true_beta","bias","relative_bias","within_ci","sim_number","x_correlation","y_correlation","method"
"covariate_y_3",-0.0800685824873958,0.393759080113937,-0.822030322438503,0.716554265381915,-0.6,0.519931417512604,-86.6552362521007,TRUE,2,0.2,0.2,"ABRM_Normal"
"covariate_y_4",0.370850158891343,0.282571538791659,-0.201980704083184,0.914136283571333,0.3,0.0708501588913435,23.6167196304478,TRUE,2,0.2,0.2,"ABRM_Normal"
"covariate_x_1",0.516262753485351,0.25696912615624,0.0126032662191194,1.01992224075158,0.5,0.0162627534853507,3.25255069707013,TRUE,2,0.2,0.2,"Dasymetric_Normal"
"covariate_x_2",-1.78468300482823,0.262599173192978,-2.29937738428647,-1.26998862537,-0.3,-1.48468300482823,494.894334942745,FALSE,2,0.2,0.2,"Dasymetric_Normal"
"covariate_x_3",0.593163241099606,0.276092905431534,0.0520211464537987,1.13430533574541,0.8,-0.206836758900394,-25.8545948625492,TRUE,2,0.2,0.2,"Dasymetric_Normal"
"covariate_y_1",0.219155387288935,0.611178648743765,-0.978754764248845,1.41706553882672,0.4,-0.180844612711065,-45.2111531777662,TRUE,2,0.2,0.2,"Dasymetric_Normal"
"covariate_y_2",0.00106187686057482,0.493375972596179,-0.965955029427937,0.968078783149086,0.2,-0.198938123139425,-99.4690615697126,TRUE,2,0.2,0.2,"Dasymetric_Normal"
"covariate_y_3",-1.73654340453092,0.555986182855846,-2.82627632292838,-0.646810486133465,-0.6,-1.13654340453092,189.423900755154,FALSE,2,0.2,0.2,"Dasymetric_Normal"
"covariate_y_4",1.56313443358075,0.752876760822625,0.0874959823684067,3.0387728847931,0.3,1.26313443358075,421.044811193584,TRUE,2,0.2,0.2,"Dasymetric_Normal"
"covariate_x_1",0.122382619070402,0.313324215320822,-0.498471560892841,0.728073333154495,0.5,-0.377617380929598,-75.5234761859196,TRUE,3,0.2,0.2,"ABRM_Normal"
"covariate_x_2",0.0863797200111031,0.31920603950039,-0.539917758175645,0.724258113735943,-0.3,0.386379720011103,-128.793240003701,TRUE,3,0.2,0.2,"ABRM_Normal"
"covariate_x_3",0.222792598708982,0.320213013570912,-0.407459084893306,0.837699354493276,0.8,-0.577207401291018,-72.1509251613773,TRUE,3,0.2,0.2,"ABRM_Normal"
"covariate_y_1",0.0213436496154788,0.211178581810607,-0.41074367036171,0.435557228860503,0.4,-0.378656350384521,-94.6640875961303,TRUE,3,0.2,0.2,"ABRM_Normal"
"covariate_y_2",-0.229775863131908,0.316302182777291,-0.848593293805534,0.402779566135726,0.2,-0.429775863131908,-214.887931565954,TRUE,3,0.2,0.2,"ABRM_Normal"
"covariate_y_3",-0.138928813776403,0.234419034289266,-0.590689095679134,0.328171948744979,-0.6,0.461071186223597,-76.8451977039328,FALSE,3,0.2,0.2,"ABRM_Normal"
"covariate_y_4",0.110474020616238,0.210148780873356,-0.299325868941928,0.524406563604155,0.3,-0.189525979383762,-63.1753264612539,TRUE,3,0.2,0.2,"ABRM_Normal"
"covariate_x_1",0.257054075045779,0.457516995381066,-0.63967923590111,1.15378738599267,0.5,-0.242945924954221,-48.5891849908442,TRUE,3,0.2,0.2,"Dasymetric_Normal"
"covariate_x_2",-0.194020456681883,0.477096755972798,-1.12913009838857,0.741089185024801,-0.3,0.105979543318117,-35.3265144393724,TRUE,3,0.2,0.2,"Dasymetric_Normal"
"covariate_x_3",-0.0742126699032234,0.470928335445598,-0.997232207376595,0.848806867570148,0.8,-0.874212669903223,-109.276583737903,TRUE,3,0.2,0.2,"Dasymetric_Normal"
"covariate_y_1",0.388291657678722,1.18336796590566,-1.93110955549637,2.70769287085381,0.4,-0.0117083423212783,-2.92708558031958,TRUE,3,0.2,0.2,"Dasymetric_Normal"
"covariate_y_2",0.0784698865099485,0.786377726245335,-1.46283045693091,1.6197702299508,0.2,-0.121530113490052,-60.7650567450258,TRUE,3,0.2,0.2,"Dasymetric_Normal"
"covariate_y_3",-0.142706847657077,0.906431048968978,-1.91931170363627,1.63389800832212,-0.6,0.457293152342923,-76.2155253904872,TRUE,3,0.2,0.2,"Dasymetric_Normal"
"covariate_y_4",0.179371165341052,1.07446428649132,-1.92657883618194,2.28532116686405,0.3,-0.120628834658948,-40.2096115529827,TRUE,3,0.2,0.2,"Dasymetric_Normal"
"covariate_x_1",0.188058172038701,0.223894502526354,-0.260151851313536,0.623089147881047,0.5,-0.311941827961299,-62.3883655922598,TRUE,4,0.2,0.2,"ABRM_Normal"
"covariate_x_2",0.00152520676466266,0.378387718863687,-0.754516357099071,0.742743326490534,-0.3,0.301525206764663,-100.508402254888,TRUE,4,0.2,0.2,"ABRM_Normal"
"covariate_x_3",-0.15689219152824,0.347780853787043,-0.826643299866329,0.528929439097845,0.8,-0.95689219152824,-119.61152394103,FALSE,4,0.2,0.2,"ABRM_Normal"
"covariate_y_1",0.0275886391413235,0.236712793140995,-0.42824262866144,0.490174761643664,0.4,-0.372411360858677,-93.1028402146691,TRUE,4,0.2,0.2,"ABRM_Normal"
"covariate_y_2",0.220670452891555,0.212375229033246,-0.200440228860168,0.643548138799783,0.2,0.0206704528915554,10.3352264457777,TRUE,4,0.2,0.2,"ABRM_Normal"
"covariate_y_3",-0.466236938650582,0.127794648302724,-0.713722908923208,-0.206683973856114,-0.6,0.133763061349418,-22.2938435582363,TRUE,4,0.2,0.2,"ABRM_Normal"
"covariate_y_4",0.454633521133396,0.218701956627064,0.0147535565754707,0.874405955978077,0.3,0.154633521133396,51.5445070444654,TRUE,4,0.2,0.2,"ABRM_Normal"
"covariate_x_1",0.449825221231739,0.385975043883782,-0.306685864780475,1.20633630724395,0.5,-0.0501747787682613,-10.0349557536523,TRUE,4,0.2,0.2,"Dasymetric_Normal"
"covariate_x_2",0.165130768183318,0.431681659364369,-0.680965284170844,1.01122682053748,-0.3,0.465130768183318,-155.043589394439,TRUE,4,0.2,0.2,"Dasymetric_Normal"
"covariate_x_3",-0.0280988045309194,0.410348013883004,-0.832380911741607,0.776183302679769,0.8,-0.82809880453092,-103.512350566365,FALSE,4,0.2,0.2,"Dasymetric_Normal"
"covariate_y_1",-0.364465352065144,0.63535422860131,-1.60975964012371,0.880828935993424,0.4,-0.764465352065144,-191.116338016286,TRUE,4,0.2,0.2,"Dasymetric_Normal"
"covariate_y_2",1.33237010362697,0.663386964071835,0.0321316540461771,2.63260855320777,0.2,1.13237010362697,566.185051813487,TRUE,4,0.2,0.2,"Dasymetric_Normal"
"covariate_y_3",-1.49521933953454,0.529634036017823,-2.53330205012947,-0.457136628939605,-0.6,-0.895219339534537,149.203223255756,TRUE,4,0.2,0.2,"Dasymetric_Normal"
"covariate_y_4",0.0635633436989473,0.502168690644557,-0.920687289964384,1.04781397736228,0.3,-0.236436656301053,-78.8122187670176,TRUE,4,0.2,0.2,"Dasymetric_Normal"
"covariate_x_1",-0.0522488678230385,0.385791325975694,-0.820122660671954,0.705403407368475,0.5,-0.552248867823039,-110.449773564608,TRUE,5,0.2,0.2,"ABRM_Normal"
"covariate_x_2",-0.060007899994465,0.307319128601244,-0.661458975557747,0.552934590871597,-0.3,0.239992100005535,-79.9973666685117,TRUE,5,0.2,0.2,"ABRM_Normal"
"covariate_x_3",0.215217656260774,0.350386925517658,-0.468711535356273,0.914115928151854,0.8,-0.584782343739226,-73.0977929674032,TRUE,5,0.2,0.2,"ABRM_Normal"
"covariate_y_1",-0.104032665127783,0.225487361128844,-0.546116185186443,0.352797354493976,0.4,-0.504032665127783,-126.008166281946,FALSE,5,0.2,0.2,"ABRM_Normal"
"covariate_y_2",-0.153163291368751,0.213719517770532,-0.580409682891082,0.2725629037334,0.2,-0.353163291368751,-176.581645684375,TRUE,5,0.2,0.2,"ABRM_Normal"
"covariate_y_3",-0.223044205179854,0.184741612118046,-0.591528244834938,0.136618329184191,-0.6,0.376955794820146,-62.8259658033576,FALSE,5,0.2,0.2,"ABRM_Normal"
"covariate_y_4",0.069019810351603,0.198763869062265,-0.328697366583012,0.460331482300732,0.3,-0.230980189648397,-76.9933965494657,TRUE,5,0.2,0.2,"ABRM_Normal"
"covariate_x_1",1.1007306727752,0.389580196810269,0.337153487027071,1.86430785852333,0.5,0.600730672775199,120.14613455504,TRUE,5,0.2,0.2,"Dasymetric_Normal"
"covariate_x_2",-0.207464690944638,0.324460433023228,-0.843407139670166,0.428477757780889,-0.3,0.0925353090553616,-30.8451030184539,TRUE,5,0.2,0.2,"Dasymetric_Normal"
"covariate_x_3",0.71214757121118,0.307820937800139,0.108818533122908,1.31547660929945,0.8,-0.0878524287888203,-10.9815535986025,TRUE,5,0.2,0.2,"Dasymetric_Normal"
"covariate_y_1",0.603811858943819,0.469567895698244,-0.316541216624738,1.52416493451238,0.4,0.203811858943819,50.9529647359548,TRUE,5,0.2,0.2,"Dasymetric_Normal"
"covariate_y_2",0.816009740323262,0.605315045770116,-0.370407749386167,2.00242723003269,0.2,0.616009740323262,308.004870161631,TRUE,5,0.2,0.2,"Dasymetric_Normal"
"covariate_y_3",-1.57669393966792,0.487479882023617,-2.53215450843421,-0.621233370901631,-0.6,-0.976693939667921,162.782323277987,FALSE,5,0.2,0.2,"Dasymetric_Normal"
"covariate_y_4",-0.55952117381988,0.571632456472596,-1.67992078850617,0.560878440866407,0.3,-0.85952117381988,-286.50705793996,TRUE,5,0.2,0.2,"Dasymetric_Normal"
"covariate_x_1",0.170780765099309,0.352347396775631,-0.520111025019629,0.852173431857626,0.5,-0.329219234900691,-65.8438469801383,TRUE,1,0.2,0.6,"ABRM_Normal"
"covariate_x_2",0.443192320063798,0.325219712096061,-0.205482306308423,1.05804541446992,-0.3,0.743192320063798,-247.730773354599,FALSE,1,0.2,0.6,"ABRM_Normal"
"covariate_x_3",-0.142992330928096,0.319921939837722,-0.755771277672997,0.507920538423735,0.8,-0.942992330928096,-117.874041366012,FALSE,1,0.2,0.6,"ABRM_Normal"
"covariate_y_1",-0.0576130225266319,0.314082331971579,-0.668417484475371,0.565421830923737,0.4,-0.457613022526632,-114.403255631658,TRUE,1,0.2,0.6,"ABRM_Normal"
"covariate_y_2",0.0116441893824659,0.304044255838451,-0.569138568758621,0.612641215630951,0.2,-0.188355810617534,-94.177905308767,TRUE,1,0.2,0.6,"ABRM_Normal"
"covariate_y_3",-0.229270179296302,0.298571328603122,-0.817532893222258,0.347563489303528,-0.6,0.370729820703698,-61.7883034506163,TRUE,1,0.2,0.6,"ABRM_Normal"
"covariate_y_4",0.29849939936716,0.247604456701826,-0.206089473814232,0.771898475966398,0.3,-0.00150060063284008,-0.500200210946692,TRUE,1,0.2,0.6,"ABRM_Normal"
"covariate_x_1",-0.139147233015618,0.556418295000556,-1.22972709121671,0.951432625185472,0.5,-0.639147233015618,-127.829446603124,TRUE,1,0.2,0.6,"Dasymetric_Normal"
"covariate_x_2",-0.299697921170709,0.430682939070417,-1.14383648174873,0.544440639407308,-0.3,0.000302078829291286,-0.100692943097095,TRUE,1,0.2,0.6,"Dasymetric_Normal"
"covariate_x_3",1.37724782937789,0.51887707844488,0.360248755625923,2.39424690312985,0.8,0.577247829377889,72.1559786722361,TRUE,1,0.2,0.6,"Dasymetric_Normal"
"covariate_y_1",0.636721484518417,0.798288964679272,-0.927924886252957,2.20136785528979,0.4,0.236721484518417,59.1803711296042,TRUE,1,0.2,0.6,"Dasymetric_Normal"
"covariate_y_2",-0.131248067005702,0.55663620636101,-1.22225503147328,0.959758897461877,0.2,-0.331248067005702,-165.624033502851,TRUE,1,0.2,0.6,"Dasymetric_Normal"
"covariate_y_3",-0.422238554856794,0.80937667725773,-2.00861684228194,1.16413973256836,-0.6,0.177761445143206,-29.6269075238677,TRUE,1,0.2,0.6,"Dasymetric_Normal"
"covariate_y_4",-0.156097640390389,0.875128334926425,-1.87134917684618,1.5591538960654,0.3,-0.456097640390389,-152.032546796796,TRUE,1,0.2,0.6,"Dasymetric_Normal"
"covariate_x_1",0.0502909560639662,0.320971362460949,-0.569013481322282,0.713285821880825,0.5,-0.449709043936034,-89.9418087872067,TRUE,2,0.2,0.6,"ABRM_Normal"
"covariate_x_2",0.629259592572311,0.315718888116196,-0.0150433324252242,1.25033729369494,-0.3,0.929259592572311,-309.753197524104,FALSE,2,0.2,0.6,"ABRM_Normal"
"covariate_x_3",-0.263409847564489,0.309789488888928,-0.861062058156892,0.363134701723833,0.8,-1.06340984756449,-132.926230945561,FALSE,2,0.2,0.6,"ABRM_Normal"
"covariate_y_1",0.484274692311111,0.273494315885268,-0.0806688286738062,0.993434027999783,0.4,0.084274692311111,21.0686730777777,TRUE,2,0.2,0.6,"ABRM_Normal"
"covariate_y_2",-0.263823133336165,0.311089052239226,-0.862186195475214,0.356330135144913,0.2,-0.463823133336165,-231.911566668082,TRUE,2,0.2,0.6,"ABRM_Normal"
"covariate_y_3",-0.352802540614588,0.237199172398695,-0.798056689103835,0.129494928477174,-0.6,0.247197459385412,-41.1995765642354,TRUE,2,0.2,0.6,"ABRM_Normal"
"covariate_y_4",0.235982870079073,0.258055106325904,-0.282259533579632,0.735284022190225,0.3,-0.0640171299209268,-21.3390433069756,TRUE,2,0.2,0.6,"ABRM_Normal"
"covariate_x_1",1.01282155081468,0.400769379801287,0.227313566404153,1.7983295352252,0.5,0.512821550814677,102.564310162935,TRUE,2,0.2,0.6,"Dasymetric_Normal"
"covariate_x_2",-0.511414792234838,0.38645607942436,-1.26886870790658,0.246039123436907,-0.3,-0.211414792234838,70.4715974116127,TRUE,2,0.2,0.6,"Dasymetric_Normal"
"covariate_x_3",0.111731169658905,0.396402060530267,-0.665216868980419,0.888679208298229,0.8,-0.688268830341095,-86.0336037926369,TRUE,2,0.2,0.6,"Dasymetric_Normal"
"covariate_y_1",1.44797086653399,0.75056350153407,-0.0231335964727863,2.91907532954077,0.4,1.04797086653399,261.992716633498,TRUE,2,0.2,0.6,"Dasymetric_Normal"
"covariate_y_2",-1.68213787149093,0.823046554900294,-3.29530911909551,-0.0689666238863553,0.2,-1.88213787149093,-941.068935745466,FALSE,2,0.2,0.6,"Dasymetric_Normal"
"covariate_y_3",-1.59305193796604,0.56016034174542,-2.69096620778707,-0.495137668145019,-0.6,-0.993051937966043,165.508656327674,TRUE,2,0.2,0.6,"Dasymetric_Normal"
"covariate_y_4",1.41410031745284,0.719315805553399,0.00424133856817654,2.8239592963375,0.3,1.11410031745284,371.366772484279,TRUE,2,0.2,0.6,"Dasymetric_Normal"
"covariate_x_1",0.127949767869448,0.261283564647956,-0.392525216588022,0.62763942771826,0.5,-0.372050232130552,-74.4100464261104,TRUE,3,0.2,0.6,"ABRM_Normal"
"covariate_x_2",0.321889072374601,0.376972412720005,-0.422501421363829,1.04837130824242,-0.3,0.621889072374601,-207.2963574582,TRUE,3,0.2,0.6,"ABRM_Normal"
"covariate_x_3",-0.278238332284717,0.303931228581073,-0.859726001175275,0.352344033347007,0.8,-1.07823833228472,-134.77979153559,FALSE,3,0.2,0.6,"ABRM_Normal"
"covariate_y_1",0.190657093946743,0.240975761989178,-0.27738588954474,0.672897848741091,0.4,-0.209342906053257,-52.3357265133143,TRUE,3,0.2,0.6,"ABRM_Normal"
"covariate_y_2",0.0684466217554173,0.232948619562041,-0.404859374062977,0.52915189969689,0.2,-0.131553378244583,-65.7766891222913,TRUE,3,0.2,0.6,"ABRM_Normal"
"covariate_y_3",-0.154272608264759,0.184633592210976,-0.511749587914743,0.225048743808417,-0.6,0.445727391735241,-74.2878986225402,FALSE,3,0.2,0.6,"ABRM_Normal"
"covariate_y_4",-0.302181681082666,0.197388670294792,-0.687970418714216,0.101994711022155,0.3,-0.602181681082666,-200.727227027555,FALSE,3,0.2,0.6,"ABRM_Normal"
"covariate_x_1",0.13909977882242,0.496977258271882,-0.834975647390469,1.11317520503531,0.5,-0.36090022117758,-72.180044235516,TRUE,3,0.2,0.6,"Dasymetric_Normal"
"covariate_x_2",-0.00959721394135258,0.465519647481667,-0.92201572300542,0.902821295122714,-0.3,0.290402786058647,-96.8009286862158,TRUE,3,0.2,0.6,"Dasymetric_Normal"
"covariate_x_3",0.468883222431539,0.494040085331719,-0.499435344818631,1.43720178968171,0.8,-0.331116777568461,-41.3895971960576,TRUE,3,0.2,0.6,"Dasymetric_Normal"
"covariate_y_1",0.87205095590746,1.11717924841625,-1.31762037098839,3.06172228280331,0.4,0.47205095590746,118.012738976865,TRUE,3,0.2,0.6,"Dasymetric_Normal"
"covariate_y_2",-0.8615513343137,0.855991279504068,-2.53929424214167,0.816191573514272,0.2,-1.0615513343137,-530.77566715685,TRUE,3,0.2,0.6,"Dasymetric_Normal"
"covariate_y_3",-0.324793302486191,0.800132140912361,-1.89305229867442,1.24346569370204,-0.6,0.275206697513809,-45.8677829189681,TRUE,3,0.2,0.6,"Dasymetric_Normal"
"covariate_y_4",-0.228788844373127,0.876876216086317,-1.94746622790231,1.48988853915605,0.3,-0.528788844373127,-176.262948124376,TRUE,3,0.2,0.6,"Dasymetric_Normal"
"covariate_x_1",0.170268199035147,0.343859226150806,-0.514661771740157,0.83418760552622,0.5,-0.329731800964853,-65.9463601929706,TRUE,4,0.2,0.6,"ABRM_Normal"
"covariate_x_2",-0.199885578807946,0.364407619822798,-0.906899357968017,0.505968143789666,-0.3,0.100114421192054,-33.3714737306845,TRUE,4,0.2,0.6,"ABRM_Normal"
"covariate_x_3",0.0600078977022021,0.369124573125148,-0.664037071865053,0.775454917029089,0.8,-0.739992102297798,-92.4990127872247,FALSE,4,0.2,0.6,"ABRM_Normal"
"covariate_y_1",-0.239408528037101,0.290744216798235,-0.799261713922772,0.337337371926802,0.4,-0.639408528037101,-159.852132009275,FALSE,4,0.2,0.6,"ABRM_Normal"
"covariate_y_2",-0.213368803142146,0.235740915854334,-0.662460717133196,0.256986723579931,0.2,-0.413368803142146,-206.684401571073,TRUE,4,0.2,0.6,"ABRM_Normal"
"covariate_y_3",0.0898164557659571,0.246588364675013,-0.406387472541983,0.558896433526403,-0.6,0.689816455765957,-114.969409294326,FALSE,4,0.2,0.6,"ABRM_Normal"
"covariate_y_4",0.281360748253234,0.247809813972449,-0.223541644255566,0.75567642562237,0.3,-0.018639251746766,-6.21308391558865,TRUE,4,0.2,0.6,"ABRM_Normal"
"covariate_x_1",0.511311399543415,0.5146372843106,-0.497377677705362,1.52000047679219,0.5,0.0113113995434146,2.26227990868293,TRUE,4,0.2,0.6,"Dasymetric_Normal"
"covariate_x_2",-0.836442966691976,0.483584287526813,-1.78426817024453,0.111382236860577,-0.3,-0.536442966691976,178.814322230659,TRUE,4,0.2,0.6,"Dasymetric_Normal"
"covariate_x_3",0.696770736063235,0.56462529603231,-0.409894844160092,1.80343631628656,0.8,-0.103229263936765,-12.9036579920956,TRUE,4,0.2,0.6,"Dasymetric_Normal"
"covariate_y_1",0.147452897681188,0.821269477339304,-1.46223527790385,1.75714107326622,0.4,-0.252547102318812,-63.1367755797029,TRUE,4,0.2,0.6,"Dasymetric_Normal"
"covariate_y_2",0.383909313240844,0.717542910065221,-1.02247479048699,1.79029341696868,0.2,0.183909313240844,91.9546566204222,TRUE,4,0.2,0.6,"Dasymetric_Normal"
"covariate_y_3",-1.4246319581523,0.622650641782218,-2.64502721604544,-0.204236700259151,-0.6,-0.824631958152298,137.43865969205,TRUE,4,0.2,0.6,"Dasymetric_Normal"
"covariate_y_4",1.67089276336062,0.785115874182634,0.132065649962656,3.20971987675858,0.3,1.37089276336062,456.964254453539,TRUE,4,0.2,0.6,"Dasymetric_Normal"
"covariate_x_1",0.243015443252457,0.336397847358377,-0.419676390014131,0.907050324678733,0.5,-0.256984556747543,-51.3969113495086,TRUE,5,0.2,0.6,"ABRM_Normal"
"covariate_x_2",0.0663576423688661,0.367088099690193,-0.655811616291254,0.785699331565946,-0.3,0.366357642368866,-122.119214122955,TRUE,5,0.2,0.6,"ABRM_Normal"
"covariate_x_3",-0.115619612255773,0.34216969081571,-0.774717209655549,0.560842668099676,0.8,-0.915619612255773,-114.452451531972,FALSE,5,0.2,0.6,"ABRM_Normal"
"covariate_y_1",0.101214985423977,0.220944181452462,-0.332199963262744,0.523123617625688,0.4,-0.298785014576023,-74.6962536440058,TRUE,5,0.2,0.6,"ABRM_Normal"
"covariate_y_2",0.148183648130065,0.235859421788921,-0.325808597854897,0.604786256406355,0.2,-0.0518163518699351,-25.9081759349676,TRUE,5,0.2,0.6,"ABRM_Normal"
"covariate_y_3",-0.148641457829758,0.238314655563753,-0.624498385416247,0.315536120278399,-0.6,0.451358542170242,-75.2264236950404,TRUE,5,0.2,0.6,"ABRM_Normal"
"covariate_y_4",-0.267356852494447,0.296115157023405,-0.830144446950319,0.328078032589638,0.3,-0.567356852494447,-189.118950831482,TRUE,5,0.2,0.6,"ABRM_Normal"
"covariate_x_1",0.296401348429152,0.422957456179121,-0.532595265681925,1.12539796254023,0.5,-0.203598651570848,-40.7197303141697,TRUE,5,0.2,0.6,"Dasymetric_Normal"
"covariate_x_2",0.349062127305575,0.425576892367316,-0.485068581734365,1.18319283634551,-0.3,0.649062127305575,-216.354042435192,TRUE,5,0.2,0.6,"Dasymetric_Normal"
"covariate_x_3",0.733877068955602,0.416871118660576,-0.0831903236191271,1.55094446153033,0.8,-0.066122931044398,-8.26536638054975,TRUE,5,0.2,0.6,"Dasymetric_Normal"
"covariate_y_1",0.415998280427635,0.669468774565875,-0.89616051772148,1.72815707857675,0.4,0.0159982804276352,3.99957010690881,TRUE,5,0.2,0.6,"Dasymetric_Normal"
"covariate_y_2",0.424326408070948,0.622326371939409,-0.795433280930295,1.64408609707219,0.2,0.224326408070948,112.163204035474,TRUE,5,0.2,0.6,"Dasymetric_Normal"
"covariate_y_3",-1.57809879899217,0.640126925332535,-2.83274757264393,-0.323450025340396,-0.6,-0.978098798992166,163.016466498694,TRUE,5,0.2,0.6,"Dasymetric_Normal"
"covariate_y_4",0.325662672780692,0.815762249392913,-1.27323133602942,1.9245566815908,0.3,0.0256626727806921,8.55422426023069,TRUE,5,0.2,0.6,"Dasymetric_Normal"
"covariate_x_1",-0.19264063356566,0.388327239496074,-0.945298878454618,0.563110049500068,0.5,-0.69264063356566,-138.528126713132,TRUE,1,0.6,0.2,"ABRM_Normal"
"covariate_x_2",-0.394284618579982,0.362801807053245,-1.11468361547913,0.325523992756279,-0.3,-0.0942846185799822,31.4282061933274,TRUE,1,0.6,0.2,"ABRM_Normal"
"covariate_x_3",0.344767698436275,0.39714530532222,-0.444291176506004,1.11754813475318,0.8,-0.455232301563725,-56.9040376954656,TRUE,1,0.6,0.2,"ABRM_Normal"
"covariate_y_1",0.153926341072425,0.242760458086337,-0.33193819730661,0.623920754913875,0.4,-0.246073658927575,-61.5184147318938,TRUE,1,0.6,0.2,"ABRM_Normal"
"covariate_y_2",-0.256670322065118,0.344600621305004,-0.937356885949962,0.411700277016793,0.2,-0.456670322065118,-228.335161032559,TRUE,1,0.6,0.2,"ABRM_Normal"
"covariate_y_3",-0.240103160382616,0.383960195534067,-0.98710831076797,0.514353543243686,-0.6,0.359896839617384,-59.9828066028973,TRUE,1,0.6,0.2,"ABRM_Normal"
"covariate_y_4",0.14445003254454,0.307871898971747,-0.463311970726988,0.753140413222511,0.3,-0.15554996745546,-51.8499891518202,TRUE,1,0.6,0.2,"ABRM_Normal"
"covariate_x_1",0.854449975155106,0.492901412675392,-0.111636793688663,1.82053674399887,0.5,0.354449975155106,70.8899950310211,TRUE,1,0.6,0.2,"Dasymetric_Normal"
"covariate_x_2",-0.122678877587093,0.521323182050957,-1.14447231440697,0.899114559232783,-0.3,0.177321122412907,-59.1070408043024,TRUE,1,0.6,0.2,"Dasymetric_Normal"
"covariate_x_3",1.06700623797482,0.481373769447083,0.123513649858543,2.01049882609111,0.8,0.267006237974825,33.3757797468531,TRUE,1,0.6,0.2,"Dasymetric_Normal"
"covariate_y_1",0.350109938508311,0.77296380276643,-1.16489911491389,1.86511899193051,0.4,-0.0498900614916892,-12.4725153729223,TRUE,1,0.6,0.2,"Dasymetric_Normal"
"covariate_y_2",0.0436222632233211,0.534989408105392,-1.00495697666325,1.09220150310989,0.2,-0.156377736776679,-78.1888683883394,TRUE,1,0.6,0.2,"Dasymetric_Normal"
